Model: word2vec_50_3_1_5.model, Average Distance: 0.3392, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_50_3_1_10.model, Average Distance: 0.3569, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_50_3_1_15.model, Average Distance: 0.3720, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_50_3_1_30.model, Average Distance: 0.3915, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_50_3_1_40.model, Average Distance: 0.4008, Params: {'embedding_size': 50, 'window_size': 3, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_50_4_0_5.model, Average Distance: 0.4901, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_50_4_0_10.model, Average Distance: 0.4743, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_50_4_0_15.model, Average Distance: 0.4651, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_50_4_0_30.model, Average Distance: 0.4493, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_50_4_0_40.model, Average Distance: 0.4512, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_50_4_1_5.model, Average Distance: 0.3357, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_50_4_1_10.model, Average Distance: 0.3555, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_50_4_1_15.model, Average Distance: 0.3704, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_50_4_1_30.model, Average Distance: 0.3880, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_50_4_1_40.model, Average Distance: 0.3967, Params: {'embedding_size': 50, 'window_size': 4, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_50_5_0_5.model, Average Distance: 0.4937, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_50_5_0_10.model, Average Distance: 0.4773, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_50_5_0_15.model, Average Distance: 0.4658, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_50_5_0_30.model, Average Distance: 0.4530, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_50_5_0_40.model, Average Distance: 0.4506, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_50_5_1_5.model, Average Distance: 0.3316, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_50_5_1_10.model, Average Distance: 0.3577, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_50_5_1_15.model, Average Distance: 0.3691, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_50_5_1_30.model, Average Distance: 0.3878, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_50_5_1_40.model, Average Distance: 0.3933, Params: {'embedding_size': 50, 'window_size': 5, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_50_10_0_5.model, Average Distance: 0.5019, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_50_10_0_10.model, Average Distance: 0.4832, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_50_10_0_15.model, Average Distance: 0.4735, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_50_10_0_30.model, Average Distance: 0.4641, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_50_10_0_40.model, Average Distance: 0.4618, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_50_10_1_5.model, Average Distance: 0.3375, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_50_10_1_10.model, Average Distance: 0.3612, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_50_10_1_15.model, Average Distance: 0.3723, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_50_10_1_30.model, Average Distance: 0.3861, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_50_10_1_40.model, Average Distance: 0.3920, Params: {'embedding_size': 50, 'window_size': 10, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_100_2_0_5.model, Average Distance: 0.5173, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 0, 'epochs': 5}
